delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
36828.000,18072.000,5921.000,3416.000,1801.000,614.000,112.000,30.000,0.000,0.000,23.000,0.000
171322.000,64225.000,76818.000,15999.000,13938.000,7549.000,4398.000,1066.000,0.000,0.000,-39.000,0.000
1198623.000,326791.000,10000.000,99275.000,50762.000,40473.000,9070.000,3266.000,0.000,0.000,41.000,0.000
893640.000,155486.000,50379.000,51200.000,24089.000,19546.000,12175.000,4663.000,0.000,0.000,-245.000,0.000
527856.000,30610.000,16112.000,8503.000,6385.000,16997.000,4434.000,1815.000,0.000,0.000,-35.000,0.000
1536639.000,245950.000,8244.000,53152.000,47184.000,22271.000,14132.000,5490.000,51.000,38.000,33.000,0.000
959618.000,86152.000,7319.000,18661.000,12302.000,18223.000,6488.000,2618.000,48.000,24.000,50.000,0.000
446200.000,144231.000,8320.000,37055.000,28517.000,11508.000,10146.000,2982.000,53.000,13.000,43.000,0.000
790076.000,91178.000,6704.000,17517.000,8017.000,5977.000,4924.000,1428.000,48.000,3.000,2.000,0.000
348325.000,285313.000,396648.000,43697.000,62876.000,94832.000,18551.000,4201.000,26.000,1.000,20.000,0.000
915706.000,333880.000,115951.000,111170.000,67186.000,102985.000,10304.000,3666.000,34.000,17.000,36.000,0.000
1568757.000,194258.000,191017.000,58197.000,85839.000,88623.000,30626.000,8734.000,35.000,27.000,85.000,0.000
640573.000,52574.000,102177.000,20356.000,82514.000,10486.000,12838.000,4275.000,47.000,44.000,-214.000,0.000
875106.000,40873.000,54804.000,21073.000,7598.000,28470.000,3628.000,2664.000,50.000,63.000,134.000,0.000
1670616.000,35484.000,13013.000,21893.000,17266.000,15505.000,18800.000,1757.000,56.000,63.000,132.000,0.000
953613.000,124851.000,75392.000,79112.000,86697.000,41509.000,22889.000,10195.000,57.000,66.000,-123.000,0.000
2104358.000,250629.000,253410.000,190392.000,56198.000,122175.000,11746.000,13494.000,54.000,63.000,7.000,0.000
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
236.000,40.000,13.000,14.000,11.000,20.000,4.000,2.000,0.000,0.000,29.000,0.000
319284.000,28646.000,3914.000,776.000,3760.000,5396.000,6268.000,7407.000,0.000,0.000,-26.000,0.000
469757.000,95161.000,54991.000,54703.000,37838.000,34266.000,29921.000,10889.000,0.000,0.000,103.000,0.000
1080017.000,31013.000,14553.000,7134.000,11383.000,13668.000,4590.000,5472.000,0.000,0.000,90.000,0.000
726708.000,64596.000,2999.000,28612.000,30449.000,12726.000,10248.000,3874.000,0.000,0.000,195.000,0.000
220857.000,77329.000,39183.000,18304.000,10032.000,28108.000,4745.000,1222.000,30.000,43.000,-177.000,0.000
29711.000,11030.000,4265.000,3979.000,4998.000,6406.000,1833.000,270.000,34.000,53.000,66.000,0.000
372387.000,110750.000,31549.000,39174.000,34977.000,12301.000,8091.000,3056.000,51.000,61.000,218.000,0.000
687580.000,67750.000,18384.000,10114.000,5142.000,4953.000,5169.000,2529.000,34.000,69.000,-81.000,0.000
1753180.000,505174.000,87648.000,218845.000,58064.000,34466.000,11211.000,9071.000,23.000,74.000,66.000,0.000
940835.000,704886.000,54687.000,123875.000,52684.000,59237.000,13430.000,9899.000,1.000,74.000,-307.000,0.000
902014.000,75592.000,32895.000,83355.000,22192.000,10961.000,9224.000,3715.000,1.000,63.000,160.000,0.000
783001.000,256806.000,82636.000,37966.000,39177.000,39522.000,10067.000,7976.000,1.000,75.000,-422.000,0.000
1066255.000,213728.000,89995.000,83806.000,51384.000,31685.000,6014.000,2416.000,1.000,75.000,42.000,0.000
717404.000,106536.000,91561.000,55667.000,57714.000,74198.000,9684.000,4375.000,10.000,77.000,134.000,0.000
50838.000,298218.000,63348.000,10199.000,11147.000,29697.000,5672.000,1529.000,40.000,90.000,-168.000,0.000
1215887.000,23932.000,12765.000,37694.000,35619.000,15493.000,10413.000,1410.000,47.000,67.000,145.000,0.000
178968.000,31549.000,15036.000,65968.000,14743.000,25373.000,9533.000,4569.000,61.000,77.000,44.000,0.000
417748.000,343060.000,115203.000,114955.000,76911.000,44833.000,12330.000,3336.000,80.000,84.000,54.000,0.000
1217032.000,602070.000,61290.000,37059.000,148089.000,49373.000,31014.000,9148.000,53.000,83.000,74.000,0.000
799074.000,112458.000,12704.000,22419.000,23353.000,41596.000,9695.000,1365.000,51.000,77.000,32.000,0.000
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
89.000,11.000,1.000,1.000,7.000,4.000,3.000,3.000,0.000,0.000,32.000,0.000
